step temp press etotal pe ke density
1000 140.925371698685 72.0859737591048 -938.11496384155 -1315.75947991077 377.644516069223 0.372413270173671
2000 135.684938612291 97.3877254046085 -934.86413292285 -1298.46560767844 363.601474755587 0.36839417274024
3000 141.411118354988 0.71218459471678 -916.752888322315 -1295.6990831364 378.946194814085 0.364883686388257
4000 138.80850966505 97.2967022725602 -922.672805832834 -1294.64466460379 371.971858770958 0.367448811760495
5000 137.213076421583 -28.6236077745159 -945.289523130346 -1312.98602248314 367.696499352796 0.36924763905999
6000 129.418552070736 -99.7270720346982 -957.388239967458 -1304.1973764488 346.80913648134 0.364180386251994
7000 146.041674324688 184.548421144742 -879.56605895615 -1270.92097795688 391.354919000725 0.363944104590343
8000 133.312290630496 -1.95702116936038 -940.099931568518 -1297.34330708273 357.243375514213 0.366414306062855
9000 138.638771208267 34.6887010066072 -910.379017650611 -1281.8960200916 371.517002440991 0.36287024803883
10000 143.239000802691 -83.0738281451161 -876.424354222872 -1260.26881379988 383.844459577013 0.35437126386569
11000 137.599034165985 -50.6388103196074 -909.672602636013 -1278.40337157314 368.730768937122 0.360397210132972
12000 139.427057195258 -6.97242374727075 -904.92670518423 -1278.55611560749 373.629410423264 0.361121522505274
13000 143.002255887823 35.9435131591234 -906.781153344733 -1289.99119615399 383.210042809262 0.36474931645843
14000 135.258742592613 74.1547844039004 -924.361066958314 -1286.82044368243 362.459376724112 0.364951790010365
15000 144.297603126666 14.5657200710972 -931.830027961272 -1318.51127524747 386.6812472862 0.369782359846936
16000 144.843126598436 52.068470783004 -909.398382972946 -1297.54149581974 388.143112846798 0.365954446175947
17000 145.525293516071 90.2603453893806 -889.606726338705 -1279.57787477898 389.971148440272 0.3639645726154
18000 140.494618661549 105.671454180958 -932.196163051437 -1308.6863694297 376.49020637826 0.371218974986295
19000 138.731084104991 27.3231358169751 -908.66713092046 -1280.43150868351 371.76437776305 0.362610081984815
20000 139.082810992231 -8.72211354794713 -914.899288745006 -1287.60620601332 372.706917268316 0.362260919969124
21000 144.143752711929 25.4005930682902 -945.375765099043 -1331.6447320079 386.268966908861 0.372297114120864
22000 141.421103338615 143.819923922868 -904.972584973953 -1283.94553703029 378.972952056335 0.365473122841719
23000 140.176948074456 16.0393924975663 -908.235799308287 -1283.87472849149 375.638929183201 0.361542004195825
24000 137.884060336071 120.772277170158 -924.561213326363 -1294.05578063969 369.494567313325 0.366900151702731
25000 140.997654066712 82.896942698575 -890.558272312365 -1268.39648692973 377.838214617363 0.358533478482849
26000 140.13406085979 27.2396497512093 -943.699386584211 -1319.22338882961 375.524002245398 0.371371721686804
27000 139.669836391741 -13.2711483289598 -970.131408815287 -1344.41140636181 374.279997546523 0.375434334307875
28000 138.24973358568 -15.0150330745098 -955.535342792265 -1326.0098223508 370.474479558532 0.371578659133011
29000 127.024824419946 -33.2800651745414 -941.599989728732 -1281.99453876291 340.394549034183 0.361697993616824
30000 155.071656143508 77.5451341655345 -835.709797368263 -1251.2627942096 415.552996841339 0.355956242020949
31000 144.192779019396 -72.9649444476477 -902.72823614259 -1289.12858121235 386.400345069761 0.360090915057387
32000 135.859001949557 -96.8529381136374 -943.552655440059 -1307.62057611645 364.067920676393 0.363903889097645
33000 144.287224422622 -53.3841223879717 -904.464868363124 -1291.11830333548 386.653434972356 0.361798815574176
34000 140.321831917325 69.3043393233517 -929.55031842402 -1305.57749982942 376.027181405402 0.368743354988945
35000 145.123182413446 20.4151852245443 -919.82425393798 -1308.71784586074 388.893591922759 0.367313605961971
36000 138.872246617792 25.5491642380496 -908.984752517276 -1281.12741027485 372.14265775757 0.362273385534358
37000 139.942317000976 -14.8178924771879 -936.866362462109 -1311.87653944029 375.010176978178 0.367676656670667
38000 140.768919273931 37.5737550008811 -921.870838831389 -1299.09610179152 377.225262960135 0.364391912808325
39000 144.607443515721 76.2871436832089 -916.848796065617 -1304.3603375875 387.511541521884 0.36712782448515
40000 138.207409169465 53.2430609288873 -924.227077535181 -1294.58813831407 370.361060778886 0.366750225042233
41000 137.437171279798 -62.5190776598183 -904.216834861304 -1272.51385201486 368.297017153559 0.357924476183863
42000 130.137628663433 -19.3863832069366 -914.852865005441 -1263.58894571685 348.736080711413 0.35718720054866
43000 141.386504159999 -7.94917398170461 -894.282398117713 -1273.16263308622 378.880234968509 0.358130593933874
44000 143.9130256887 -113.529647360276 -912.010897960421 -1297.66157453603 385.650676575608 0.361033641570884
45000 135.833463370179 18.9466397762367 -944.765222277637 -1308.76470599102 363.999483713383 0.368797955629523
46000 136.408267939922 56.1458562637256 -876.833211196128 -1242.37302644072 365.539815244592 0.353356348752067
47000 137.441993504012 19.5343288349296 -907.631533878499 -1275.94147337888 368.309939500385 0.359956220271602
48000 139.091588591414 -27.7109299053769 -918.648308782025 -1291.37874780626 372.730439024232 0.362167688983063
49000 130.311575150515 -110.205732970613 -957.890008007273 -1307.09222151042 349.202213503146 0.364624995506594
50000 139.558144854003 -49.1245367233409 -928.969776309226 -1302.95046865464 373.980692345412 0.364629200281527
51000 147.992914476019 25.6856483579107 -909.54158678091 -1306.12533813313 396.583751352219 0.367725878294832
52000 139.8196741316 52.4245630271502 -888.957768775689 -1263.63929374113 374.68152496544 0.359393114098202
