step temp press etotal pe ke density
101000 134.617923271132 -22.9975393410106 -941.931970180439 -1302.67411245889 360.742142278451 0.365260173462076
102000 136.919785865574 118.578216759271 -912.980846900167 -1279.89140140317 366.910554503003 0.364928904834963
103000 134.941457041477 -5.08769858645105 -927.100431225805 -1288.70956255428 361.609131328479 0.363240522199184
104000 139.705305731233 -60.2632646896775 -916.69877533561 -1291.07382178203 374.375046446421 0.360167011905826
105000 136.17082307436 106.729916337101 -922.425353195386 -1287.32887598059 364.903522785204 0.367722744378587
106000 140.415584257318 58.1505587222858 -888.580298352284 -1264.8587124253 376.27841407302 0.359076059085319
107000 136.037276564061 -8.79089793665631 -902.76878606463 -1267.31443782458 364.545651759948 0.35788117749797
108000 141.081798966725 -5.40303244025302 -905.872791549671 -1283.93649331432 378.063701764652 0.360977270216058
109000 136.099207999294 61.7963716284794 -919.542996304179 -1284.25460871838 364.711612414202 0.363971903166332
110000 133.345339313419 -64.9143131596305 -921.71022973575 -1279.04216739969 357.331937663944 0.359165188372845
111000 143.272832175669 40.3939259847005 -904.153384275073 -1288.08850341411 383.935119139036 0.363856445540418
112000 141.124641238152 34.9197711759029 -894.202276061347 -1272.38078432724 378.178508265891 0.361709734468701
113000 146.01940449088 103.974729973798 -895.611560624727 -1286.90680207761 391.295241452885 0.362537174630668
114000 136.383394777793 21.4093783524104 -927.624629658871 -1293.09779109115 365.47316143228 0.3650286148327
115000 145.515311211187 209.939063426223 -903.5451579145 -1293.48955629088 389.944398376377 0.371422778033933
116000 141.081071989323 -105.899609845138 -916.991028524356 -1295.0527821726 378.061753648243 0.36179217615211
117000 146.266547781838 -30.0470299059129 -895.212354711176 -1287.16987796179 391.957523250609 0.362684313873548
118000 140.040217908442 -52.231395392597 -929.371636025465 -1304.64416278763 375.27252676216 0.366241151881911
119000 137.321493097305 -59.9326005034992 -920.841380280071 -1288.82840902827 367.987028748203 0.361491275677262
120000 139.001618361355 -0.435551529257592 -920.820103430892 -1293.30944488993 372.489341459036 0.363593617018145
121000 138.873264799632 14.7654283217922 -929.183575841867 -1301.32896207042 372.145386228557 0.365955669706489
122000 143.666893614245 40.7407437067248 -920.097019025703 -1305.08812360923 384.991104583524 0.367292920393054
123000 136.859296669668 2.45149506009969 -929.563776439078 -1296.31223512612 366.748458687042 0.366085834790166
124000 138.766054973757 -0.655699288590314 -896.311115784802 -1268.1692066717 371.858090886901 0.356839707209275
125000 143.457417746384 16.2511097848782 -882.226510313657 -1266.65627231001 384.429761996357 0.357581289683917
126000 140.588836097745 42.440478750211 -905.075040557394 -1281.817725944 376.742685386606 0.363605489255319
127000 147.403870592052 17.4121173415557 -910.936214996256 -1305.94147704011 395.00526204385 0.367095405455726
128000 147.342012506523 -7.08615870230393 -882.029424812741 -1276.86892276108 394.839497948337 0.361564386553577
129000 145.762736150803 -99.477785089717 -876.48158734842 -1267.08902227002 390.607434921596 0.353598195952937
130000 135.597142976011 99.2910126109215 -896.586331061441 -1259.95253561567 363.366204554227 0.360406483192472
131000 146.749648956542 -65.729384476118 -865.66145697945 -1258.91356975028 393.252112770825 0.353391357452769
132000 136.987446593149 105.291935934048 -912.408702817096 -1279.50057103539 367.091868218297 0.363898908672121
133000 144.974006017671 137.645410541341 -906.270248298076 -1294.76408503756 388.493836739484 0.367901991519319
134000 139.208463705461 -66.852846687658 -892.13810768573 -1265.18174259054 373.043634904812 0.354287564085142
135000 142.695630343807 37.9755889562541 -911.247389859332 -1293.63575340823 382.388363548894 0.363704324693656
136000 144.19431536526 -49.3429003648397 -902.58164251406 -1288.98610460394 386.40446208988 0.361925771519976
137000 141.079980082574 -2.38551324705583 -909.465212264567 -1287.52403987763 378.058827613058 0.361902998355794
138000 136.545565821764 54.2928445167884 -894.267361912792 -1260.17510091391 365.907739001121 0.357137887485797
139000 137.880889456488 75.250134472023 -914.282328812994 -1283.76839896735 369.48607015436 0.365508954812281
140000 144.435305105459 -26.3941089638297 -889.537978914075 -1276.58823283489 387.050253920817 0.357482790489712
141000 141.740655854354 -63.2156393748848 -889.247487129778 -1269.07675947614 379.82927234636 0.355958052547517
142000 137.990108927507 12.1764806183296 -928.988733010264 -1298.76748384931 369.778750839045 0.365312397677862
143000 145.083369007261 -12.5389615533466 -879.513413711084 -1268.30031572889 388.786902017807 0.356953862437556
144000 135.861074659048 5.18051008514358 -881.232909571057 -1245.30638458705 364.073475015995 0.352102834424292
145000 138.838068114747 -99.9692381594312 -917.459126972789 -1289.51019494715 372.05106797436 0.360796552536402
146000 142.012678488052 78.1359863284036 -902.442640144943 -1283.00086466382 380.558224518878 0.363326028495755
147000 143.335878884073 91.6659971863384 -942.540059054257 -1326.64412749886 384.104068444601 0.375057785505976
148000 136.158225222833 113.211106497454 -924.88709608516 -1289.75685979997 364.869763714812 0.3674716434014
149000 143.855899303129 67.171551527484 -908.827910353408 -1294.32550259811 385.497592244706 0.365635682860144
150000 138.505428444673 -30.0513325956227 -937.744995053492 -1308.9046724591 371.159677405607 0.366550949680029
151000 137.590646301978 -16.7199870771026 -921.516371488807 -1290.22466306216 368.708291573356 0.364065768256736
